Units,"General Process Hazards,F1","Special Process Hazard,F2","Process Unit Hazard Factor,F3",Fire & Explosion Index,Distance of Exposure,Damage Factor,Value of Exposure Area,Base Maximum Property Damage Cost
absorber,1.2,1.6,1.92,19.2,34.88184812754339,0.135256605056,66697840.714939855,283269.5578895946
stripper,1.2,3.7,4.44,44.400000000000006,48.25813349139344,0.19151867340800002,27385675.852228735,164688.8649214509
storage_tank,1.2,1.6,1.92,19.2,28.32459982143925,0.135256605056,10645293.09389853,45211.170796393446
