unit i,unit j,Annual capital cost per metre of pipe (GBP/m.yr),Total Rectilinear Distance (m),Piping Cost (GBP/yr),Total Piping Cost (GBP/yr),Inner Pipe Diameter (m),Pressure Drop (N/m^2),Power of Pump (W),Pumping Cost (GBP/yr),Total Pumping Cost (GBP/yr)
stripper,compressor_KOdrum,182.0,62.237000756830184,22654.26827548613,,0.299,20771.75511547015,69938.5694123574,50355.76997689734,
stripper,compressor_interstage_cooler,0.0,73.23700075683007,0.0,,0.0,0.0,0.0,0.0,
stripper,TEG_dehydration,0.0,58.237000756830184,0.0,,0.0,0.0,0.0,0.0,
stripper,cooling_tower,0.0,67.23700075682964,0.0,,0.0,0.0,0.0,0.0,
stripper,coolingwater_pumphouse,0.0,88.23700075682964,0.0,,0.0,0.0,0.0,0.0,
storage_tank,direct_contact_cooler,0.0,59.00000000000023,0.0,,0.0,0.0,0.0,0.0,
storage_tank,absorber,0.0,90.99999999999864,0.0,,0.0,0.0,0.0,0.0,
storage_tank,lean_amine_cooler,0.0,37.99999999999818,0.0,,0.0,0.0,0.0,0.0,
storage_tank,cross_heat_exchanger,56.0,28.762999243168224,3221.4559152347792,,0.15,109676.76767410961,9756.409343282661,7024.614727163517,
storage_tank,stripper,0.0,122.76299924316822,0.0,,0.0,0.0,0.0,0.0,
storage_tank,storage_tank,0.0,,0.0,,0.0,0.0,0.0,0.0,
storage_tank,reclaimer,0.0,31.762999243169475,0.0,,0.0,0.0,0.0,0.0,
storage_tank,compressor_house,0.0,140.9999999999984,0.0,,0.0,0.0,0.0,0.0,
storage_tank,compressor_KOdrum,0.0,134.9999999999984,0.0,,0.0,0.0,0.0,0.0,
storage_tank,compressor_interstage_cooler,0.0,145.9999999999984,0.0,,0.0,0.0,0.0,0.0,
storage_tank,TEG_dehydration,0.0,130.9999999999984,0.0,,0.0,0.0,0.0,0.0,
storage_tank,cooling_tower,0.0,189.99999999999886,0.0,,0.0,0.0,0.0,0.0,
storage_tank,coolingwater_pumphouse,0.0,210.99999999999886,0.0,,0.0,0.0,0.0,0.0,
reclaimer,direct_contact_cooler,0.0,84.76299924317058,0.0,,0.0,0.0,0.0,0.0,
reclaimer,absorber,0.0,59.2370007568295,0.0,,0.0,0.0,0.0,0.0,
reclaimer,lean_amine_cooler,0.0,35.762999243170604,0.0,,0.0,0.0,0.0,0.0,
reclaimer,cross_heat_exchanger,53.0,24.999999999999545,2649.9999999998836,,0.144,99299.9999999982,8166.666666666519,5879.9999999998945,
reclaimer,stripper,0.0,119.00000000000023,0.0,,0.0,0.0,0.0,0.0,
reclaimer,storage_tank,0.0,31.762999243169475,0.0,,0.0,0.0,0.0,0.0,
reclaimer,reclaimer,0.0,,0.0,,0.0,0.0,0.0,0.0,
reclaimer,compressor_house,0.0,109.23700075682893,0.0,,0.0,0.0,0.0,0.0,
reclaimer,compressor_KOdrum,0.0,103.23700075682893,0.0,,0.0,0.0,0.0,0.0,
reclaimer,compressor_interstage_cooler,0.0,114.23700075682893,0.0,,0.0,0.0,0.0,0.0,
reclaimer,TEG_dehydration,0.0,99.23700075682893,0.0,,0.0,0.0,0.0,0.0,
reclaimer,cooling_tower,0.0,159.76299924317084,0.0,,0.0,0.0,0.0,0.0,
reclaimer,coolingwater_pumphouse,0.0,180.76299924317084,0.0,,0.0,0.0,0.0,0.0,
compressor_house,direct_contact_cooler,0.0,83.99999999999955,0.0,,0.0,0.0,0.0,0.0,
compressor_house,absorber,0.0,49.99999999999886,0.0,,0.0,0.0,0.0,0.0,
compressor_house,lean_amine_cooler,0.0,102.99999999999955,0.0,,0.0,0.0,0.0,0.0,
compressor_house,cross_heat_exchanger,0.0,112.23700075682939,0.0,,0.0,0.0,0.0,0.0,
compressor_house,stripper,0.0,68.23700075683018,0.0,,0.0,0.0,0.0,0.0,
compressor_house,storage_tank,0.0,140.9999999999984,0.0,,0.0,0.0,0.0,0.0,
compressor_house,reclaimer,0.0,109.23700075682893,0.0,,0.0,0.0,0.0,0.0,
compressor_house,compressor_house,0.0,,0.0,,0.0,0.0,0.0,0.0,
compressor_house,compressor_KOdrum,0.0,6.0,0.0,,0.0,0.0,0.0,0.0,
compressor_house,compressor_interstage_cooler,0.0,5.0,0.0,,0.0,0.0,0.0,0.0,
compressor_house,TEG_dehydration,0.0,10.0,0.0,,0.0,0.0,0.0,0.0,
compressor_house,cooling_tower,0.0,109.0000000000007,0.0,,0.0,0.0,0.0,0.0,
compressor_house,coolingwater_pumphouse,0.0,130.00000000000068,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,direct_contact_cooler,0.0,77.99999999999955,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,absorber,0.0,43.99999999999886,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,lean_amine_cooler,0.0,96.99999999999955,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,cross_heat_exchanger,0.0,106.23700075682939,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,stripper,0.0,62.237000756830184,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,storage_tank,0.0,134.9999999999984,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,reclaimer,0.0,103.23700075682893,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,compressor_house,182.0,6.0,5460.0,,0.299,2002.5150501672242,6742.474916387961,12136.45484949833,
compressor_KOdrum,compressor_KOdrum,0.0,,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,compressor_interstage_cooler,0.0,11.0,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,TEG_dehydration,0.0,4.0,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,cooling_tower,0.0,103.0000000000007,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,coolingwater_pumphouse,0.0,124.0000000000007,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,direct_contact_cooler,0.0,88.99999999999955,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,absorber,0.0,54.99999999999886,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,lean_amine_cooler,0.0,107.99999999999955,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,cross_heat_exchanger,0.0,117.23700075682939,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,stripper,0.0,73.23700075683007,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,storage_tank,0.0,145.9999999999984,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,reclaimer,0.0,114.23700075682893,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,compressor_house,182.0,5.0,4550.0,,0.299,1668.7625418060202,5618.729096989968,10113.712374581943,
compressor_interstage_cooler,compressor_KOdrum,0.0,11.0,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,compressor_interstage_cooler,0.0,,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,TEG_dehydration,0.0,15.0,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,cooling_tower,0.0,114.0000000000007,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,coolingwater_pumphouse,0.0,135.00000000000068,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,direct_contact_cooler,0.0,73.99999999999955,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,absorber,0.0,39.99999999999886,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,lean_amine_cooler,0.0,92.99999999999955,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,cross_heat_exchanger,0.0,102.23700075682939,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,stripper,0.0,58.237000756830184,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,storage_tank,0.0,130.9999999999984,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,reclaimer,0.0,99.23700075682893,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,compressor_house,182.0,10.0,3640.0,,0.299,3337.5250836120404,11237.458193979935,8090.969899665554,
TEG_dehydration,compressor_KOdrum,0.0,4.0,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,compressor_interstage_cooler,0.0,15.0,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,TEG_dehydration,0.0,,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,cooling_tower,0.0,99.0000000000007,0.0,,0.0,0.0,0.0,0.0,
TEG_dehydration,coolingwater_pumphouse,0.0,120.0000000000007,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,direct_contact_cooler,0.0,132.99999999999977,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,absorber,0.0,109.0000000000007,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,lean_amine_cooler,0.0,151.99999999999977,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,cross_heat_exchanger,0.0,161.23700075682962,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,stripper,0.0,67.23700075682964,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,storage_tank,0.0,189.99999999999886,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,reclaimer,0.0,159.76299924317084,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,compressor_house,0.0,109.0000000000007,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,compressor_KOdrum,0.0,103.0000000000007,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,compressor_interstage_cooler,0.0,114.0000000000007,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,TEG_dehydration,0.0,99.0000000000007,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,cooling_tower,0.0,,0.0,,0.0,0.0,0.0,0.0,
cooling_tower,coolingwater_pumphouse,96.0,21.0,16128.0,,0.204,56529.9,9261.000000000002,26671.680000000008,
coolingwater_pumphouse,direct_contact_cooler,0.0,153.99999999999977,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,absorber,0.0,130.0000000000007,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,lean_amine_cooler,0.0,172.99999999999977,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,cross_heat_exchanger,0.0,182.23700075682962,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,stripper,0.0,88.23700075682964,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,storage_tank,0.0,210.99999999999886,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,reclaimer,0.0,180.76299924317084,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,compressor_house,0.0,130.00000000000068,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,compressor_KOdrum,0.0,124.0000000000007,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,compressor_interstage_cooler,0.0,135.00000000000068,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,TEG_dehydration,0.0,120.0000000000007,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,cooling_tower,0.0,21.0,0.0,,0.0,0.0,0.0,0.0,
coolingwater_pumphouse,coolingwater_pumphouse,0.0,,0.0,,0.0,0.0,0.0,0.0,
,,,,,103317.14619526175,,,,,
,,,,,,,,,,439178.3624975711
