Objective,31847.800000000003
unit,x,y,l,d
ct_1,42.5,8.5,17.0,17.0
ct_2,59.5,8.5,17.0,17.0
ct_3,25.5,8.5,17.0,17.0
ct_4,8.5,8.5,17.0,17.0
ct_5,8.5,25.5,17.0,17.0
ct_6,59.5,25.500000000000455,17.0,17.0
ct_7,42.5,25.500000000000455,17.0,17.0
ct_8,25.5,25.500000000000455,17.0,17.0
