unit i,unit j,Annual capital cost per metre of pipe (GBP/m.yr),Total Rectilinear Distance (m),Piping Cost (GBP/yr),Total Piping Cost (GBP/yr),Inner Pipe Diameter (m),Pressure Drop (N/m^2),Power of Pump (W),Pumping Cost (GBP/yr),Total Pumping Cost (GBP/yr)
stripper,compressor_KOdrum,182.0,95.00000000000057,34580.00000000012,,0.299,31706.488294314477,106755.85284280969,76864.21404682299,
stripper,compressor_interstage_cooler,0.0,124.00000000000057,0.0,,0.0,0.0,0.0,0.0,
stripper,TEG_dehydration,0.0,76.00000000000057,0.0,,0.0,0.0,0.0,0.0,
stripper,cooling_tower,0.0,178.99999999999886,0.0,,0.0,0.0,0.0,0.0,
stripper,coolingwater_pumphouse,0.0,109.99999999999909,0.0,,0.0,0.0,0.0,0.0,
storage_tank,direct_contact_cooler,0.0,305.00000000000057,0.0,,0.0,0.0,0.0,0.0,
storage_tank,absorber,0.0,256.0000000000002,0.0,,0.0,0.0,0.0,0.0,
storage_tank,lean_amine_cooler,0.0,220.0000000000001,0.0,,0.0,0.0,0.0,0.0,
storage_tank,cross_heat_exchanger,56.0,191.99999999999977,21503.99999999994,,0.15,732119.0399999991,65126.39999999993,46891.00799999995,
storage_tank,stripper,0.0,146.0,0.0,,0.0,0.0,0.0,0.0,
storage_tank,storage_tank,0.0,,0.0,,0.0,0.0,0.0,0.0,
storage_tank,reclaimer,0.0,167.00000000000023,0.0,,0.0,0.0,0.0,0.0,
storage_tank,compressor_house,0.0,256.00000000000114,0.0,,0.0,0.0,0.0,0.0,
storage_tank,compressor_KOdrum,0.0,241.00000000000114,0.0,,0.0,0.0,0.0,0.0,
storage_tank,compressor_interstage_cooler,0.0,270.00000000000114,0.0,,0.0,0.0,0.0,0.0,
storage_tank,TEG_dehydration,0.0,222.00000000000114,0.0,,0.0,0.0,0.0,0.0,
storage_tank,cooling_tower,0.0,113.00000000000136,0.0,,0.0,0.0,0.0,0.0,
storage_tank,coolingwater_pumphouse,0.0,182.00000000000148,0.0,,0.0,0.0,0.0,0.0,
reclaimer,direct_contact_cooler,0.0,138.00000000000088,0.0,,0.0,0.0,0.0,0.0,
reclaimer,absorber,0.0,89.00000000000023,0.0,,0.0,0.0,0.0,0.0,
reclaimer,lean_amine_cooler,0.0,53.000000000000455,0.0,,0.0,0.0,0.0,0.0,
reclaimer,cross_heat_exchanger,53.0,25.00000000000003,2650.000000000003,,0.144,99300.00000000012,8166.666666666677,5880.000000000008,
reclaimer,stripper,0.0,70.99999999999955,0.0,,0.0,0.0,0.0,0.0,
reclaimer,storage_tank,0.0,167.00000000000023,0.0,,0.0,0.0,0.0,0.0,
reclaimer,reclaimer,0.0,,0.0,,0.0,0.0,0.0,0.0,
reclaimer,compressor_house,0.0,89.00000000000092,0.0,,0.0,0.0,0.0,0.0,
reclaimer,compressor_KOdrum,0.0,74.00000000000091,0.0,,0.0,0.0,0.0,0.0,
reclaimer,compressor_interstage_cooler,0.0,103.00000000000092,0.0,,0.0,0.0,0.0,0.0,
reclaimer,TEG_dehydration,0.0,55.00000000000091,0.0,,0.0,0.0,0.0,0.0,
reclaimer,cooling_tower,0.0,249.9999999999992,0.0,,0.0,0.0,0.0,0.0,
reclaimer,coolingwater_pumphouse,0.0,180.9999999999992,0.0,,0.0,0.0,0.0,0.0,
compressor_house,direct_contact_cooler,0.0,173.00000000000048,0.0,,0.0,0.0,0.0,0.0,
compressor_house,absorber,0.0,123.99999999999977,0.0,,0.0,0.0,0.0,0.0,
compressor_house,lean_amine_cooler,0.0,96.00000000000001,0.0,,0.0,0.0,0.0,0.0,
compressor_house,cross_heat_exchanger,0.0,64.0000000000009,0.0,,0.0,0.0,0.0,0.0,
