unit,"liquid flowrate of release,Liq","total liquid release,WT","fraction flashed,Fv","airborne quantity produced by flashed,AQf","total mass of liquid entering pool,WP","pool area,AP","vapor pressure,Pvap","airborne quantity from pool surface,AQp","total airborne quantity,AQ",CEI,Dc,Value of chemical exposure
absorber,9.317428186141393,8385.685367527254,{'MEA': None},{'MEA': 0},8385.685367527254,844.4798960248996,{'MEA': 96.51971031400656},{'MEA': 10.45432435707126},{'MEA': 10.45432435707126},{'MEA': 189.52843018209686},{'MEA': 1895.2843018209685},Vlc_absorber_coolingwater_pumphouse
stripper,19.830750990837693,17847.675891753923,{'MEA': None},{'MEA': 0},17847.675891753923,1797.3490324022077,{'MEA': 96.51971031400656},{'MEA': 16.7252370443883},{'MEA': 16.7252370443883},{'MEA': 239.72455497924906},{'MEA': 2397.2455497924907},Vlc_stripper_coolingwater_pumphouse
storage_tank,49.13870047642274,44224.830428780464,{'MEA': None},{'MEA': 0},44224.830428780464,4453.658653452212,{'MEA': 96.51971031400656},{'MEA': 51.238452009944815},{'MEA': 51.238452009944815},{'MEA': 419.5892766911549},{'MEA': 4195.892766911549},Vlc_storage_tank_coolingwater_pumphouse
