unit i,unit j,Annual capital cost per metre of pipe (GBP/m.yr),Total Rectilinear Distance (m),Piping Cost (GBP/yr),Total Piping Cost (GBP/yr),Inner Pipe Diameter (m),Pressure Drop (N/m^2),Power of Pump (W),Pumping Cost (GBP/yr),Total Pumping Cost (GBP/yr)
rich_pump_T1_1,rich_pump_T1_2,57.0,6.837499999999636,389.7374999999447,,0.15,26340.839699998603,2333.7754999998765,840.1591799999557,
rich_pump_T1_1,absorber_T2,0.0,47.3985,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_1,wash_water_pump_T2_1,0.0,35.7845,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_1,wash_water_pump_T2_2,0.0,39.51250000000007,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_1,wash_water_cooler_T2,0.0,34.34850000000007,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_1,rich_pump_T2_1,0.0,31.243999999999986,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_1,rich_pump_T2_2,0.0,27.935000000000016,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,absorber_T1,0.0,23.839,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,wash_water_pump_T1_1,0.0,12.225000000000001,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,wash_water_pump_T1_2,0.0,15.953,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,wash_water_cooler_T1,0.0,17.798000000000002,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,rich_pump_T1_1,0.0,6.837499999999636,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,rich_pump_T1_2,0.0,,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,absorber_T2,0.0,43.879999999999995,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,wash_water_pump_T2_1,0.0,32.266,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,wash_water_pump_T2_2,0.0,35.99400000000007,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,wash_water_cooler_T2,0.0,34.01700000000007,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,rich_pump_T2_1,0.0,27.725499999999986,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,rich_pump_T2_2,0.0,24.416500000000017,0.0,,0.0,0.0,0.0,0.0,
absorber_T2,absorber_T1,0.0,41.172,0.0,,0.0,0.0,0.0,0.0,
absorber_T2,wash_water_pump_T1_1,0.0,52.786,0.0,,0.0,0.0,0.0,0.0,
absorber_T2,wash_water_pump_T1_2,0.0,56.514,0.0,,0.0,0.0,0.0,0.0,
