Objective,3526.4
unit,x,y,l,d
ct_1,28.0,4.0,8.0,8.0
ct_2,20.0,4.0,8.0,8.0
ct_3,12.0,4.0,8.0,8.0
ct_4,4.0,4.0,8.0,8.0
