unit i,unit j,Annual capital cost per metre of pipe (GBP/m.yr),Total Rectilinear Distance (m),Piping Cost (GBP/yr),Total Piping Cost (GBP/yr),Inner Pipe Diameter (m),Pressure Drop (N/m^2),Power of Pump (W),Pumping Cost (GBP/yr),Total Pumping Cost (GBP/yr)
rich_pump_T1_1,rich_pump_T1_2,57.0,6.627999999999702,377.79599999995844,,0.15,25533.760223998852,2262.2689599998985,814.4168255999635,
rich_pump_T1_1,absorber_T2,0.0,46.21100000300022,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_1,wash_water_pump_T2_1,0.0,34.59700000300022,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_1,wash_water_pump_T2_2,0.0,38.325000003000284,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_1,wash_water_cooler_T2,0.0,33.16100000300007,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_1,rich_pump_T2_1,0.0,29.20950000300022,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_1,rich_pump_T2_2,0.0,29.01199999700021,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,absorber_T1,0.0,23.839000003,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,wash_water_pump_T1_1,0.0,12.225000000000001,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,wash_water_pump_T1_2,0.0,15.953000000000003,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,wash_water_cooler_T1,0.0,17.798000000000002,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,rich_pump_T1_1,0.0,6.627999999999702,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,rich_pump_T1_2,0.0,,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,absorber_T2,0.0,52.83900000300022,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,wash_water_pump_T2_1,0.0,41.22500000300022,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,wash_water_pump_T2_2,0.0,44.953000003000284,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,wash_water_cooler_T2,0.0,39.78900000300007,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,rich_pump_T2_1,0.0,35.83750000300022,0.0,,0.0,0.0,0.0,0.0,
rich_pump_T1_2,rich_pump_T2_2,0.0,32.73999999700021,0.0,,0.0,0.0,0.0,0.0,
