unit i,unit j,Annual capital cost per metre of pipe (GBP/m.yr),Total Rectilinear Distance (m),Piping Cost (GBP/yr),Total Piping Cost (GBP/yr),Inner Pipe Diameter (m),Pressure Drop (N/m^2),Power of Pump (W),Pumping Cost (GBP/yr),Total Pumping Cost (GBP/yr)
stripper,compressor_interstage_cooler,0.0,106.99999999999977,0.0,,0.0,0.0,0.0,0.0,
stripper,TEG_dehydration,0.0,76.99999999999977,0.0,,0.0,0.0,0.0,0.0,
stripper,cooling_tower,0.0,224.99999999999955,0.0,,0.0,0.0,0.0,0.0,
stripper,coolingwater_pumphouse,0.0,163.99999999999955,0.0,,0.0,0.0,0.0,0.0,
storage_tank,direct_contact_cooler,0.0,281.99999999999966,0.0,,0.0,0.0,0.0,0.0,
storage_tank,absorber,0.0,211.0,0.0,,0.0,0.0,0.0,0.0,
storage_tank,lean_amine_cooler,0.0,157.99999999999977,0.0,,0.0,0.0,0.0,0.0,
storage_tank,cross_heat_exchanger,56.0,125.99999999999932,14111.999999999884,,0.15,480453.1199999974,42739.19999999977,30772.22399999984,
storage_tank,stripper,0.0,185.99999999999955,0.0,,0.0,0.0,0.0,0.0,
storage_tank,storage_tank,0.0,,0.0,,0.0,0.0,0.0,0.0,
storage_tank,reclaimer,0.0,109.99999999999955,0.0,,0.0,0.0,0.0,0.0,
storage_tank,compressor_house,0.0,152.99999999999977,0.0,,0.0,0.0,0.0,0.0,
storage_tank,compressor_KOdrum,0.0,126.99999999999977,0.0,,0.0,0.0,0.0,0.0,
storage_tank,compressor_interstage_cooler,0.0,176.99999999999977,0.0,,0.0,0.0,0.0,0.0,
storage_tank,TEG_dehydration,0.0,212.99999999999977,0.0,,0.0,0.0,0.0,0.0,
storage_tank,cooling_tower,0.0,284.99999999999955,0.0,,0.0,0.0,0.0,0.0,
storage_tank,coolingwater_pumphouse,0.0,223.99999999999955,0.0,,0.0,0.0,0.0,0.0,
reclaimer,direct_contact_cooler,0.0,188.0000000000005,0.0,,0.0,0.0,0.0,0.0,
reclaimer,absorber,0.0,117.00000000000023,0.0,,0.0,0.0,0.0,0.0,
reclaimer,lean_amine_cooler,0.0,64.00000000000051,0.0,,0.0,0.0,0.0,0.0,
reclaimer,cross_heat_exchanger,53.0,32.00000000000006,3392.000000000006,,0.144,127104.00000000023,10453.333333333354,7526.400000000016,
reclaimer,stripper,0.0,169.99999999999955,0.0,,0.0,0.0,0.0,0.0,
reclaimer,storage_tank,0.0,109.99999999999955,0.0,,0.0,0.0,0.0,0.0,
reclaimer,reclaimer,0.0,,0.0,,0.0,0.0,0.0,0.0,
reclaimer,compressor_house,0.0,253.0,0.0,,0.0,0.0,0.0,0.0,
reclaimer,compressor_KOdrum,0.0,227.0,0.0,,0.0,0.0,0.0,0.0,
reclaimer,compressor_interstage_cooler,0.0,277.0,0.0,,0.0,0.0,0.0,0.0,
reclaimer,TEG_dehydration,0.0,247.0,0.0,,0.0,0.0,0.0,0.0,
reclaimer,cooling_tower,0.0,394.99999999999955,0.0,,0.0,0.0,0.0,0.0,
reclaimer,coolingwater_pumphouse,0.0,333.99999999999955,0.0,,0.0,0.0,0.0,0.0,
compressor_house,direct_contact_cooler,0.0,143.0000000000004,0.0,,0.0,0.0,0.0,0.0,
compressor_house,absorber,0.0,214.0000000000001,0.0,,0.0,0.0,0.0,0.0,
compressor_house,lean_amine_cooler,0.0,267.0000000000004,0.0,,0.0,0.0,0.0,0.0,
compressor_house,cross_heat_exchanger,0.0,220.99999999999994,0.0,,0.0,0.0,0.0,0.0,
compressor_house,stripper,0.0,82.99999999999977,0.0,,0.0,0.0,0.0,0.0,
compressor_house,storage_tank,0.0,152.99999999999977,0.0,,0.0,0.0,0.0,0.0,
compressor_house,reclaimer,0.0,253.0,0.0,,0.0,0.0,0.0,0.0,
compressor_house,compressor_house,0.0,,0.0,,0.0,0.0,0.0,0.0,
compressor_house,compressor_KOdrum,0.0,26.0,0.0,,0.0,0.0,0.0,0.0,
compressor_house,compressor_interstage_cooler,0.0,24.0,0.0,,0.0,0.0,0.0,0.0,
compressor_house,TEG_dehydration,0.0,59.999999999999545,0.0,,0.0,0.0,0.0,0.0,
compressor_house,cooling_tower,0.0,141.99999999999955,0.0,,0.0,0.0,0.0,0.0,
compressor_house,coolingwater_pumphouse,0.0,80.99999999999955,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,direct_contact_cooler,0.0,155.0000000000005,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,absorber,0.0,188.0000000000001,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,lean_amine_cooler,0.0,241.0000000000004,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,cross_heat_exchanger,0.0,194.99999999999994,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,stripper,0.0,58.99999999999977,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,storage_tank,0.0,126.99999999999977,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,reclaimer,0.0,227.0,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,compressor_house,182.0,26.0,23660.0,,0.299,8677.565217391304,29217.391304347828,52591.304347826095,
compressor_KOdrum,compressor_KOdrum,0.0,,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,compressor_interstage_cooler,0.0,50.0,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,TEG_dehydration,0.0,86.0,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,cooling_tower,0.0,167.99999999999955,0.0,,0.0,0.0,0.0,0.0,
compressor_KOdrum,coolingwater_pumphouse,0.0,106.99999999999955,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,direct_contact_cooler,0.0,167.0000000000004,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,absorber,0.0,238.0000000000001,0.0,,0.0,0.0,0.0,0.0,
compressor_interstage_cooler,lean_amine_cooler,0.0,291.0000000000004,0.0,,0.0,0.0,0.0,0.0,
